SISTEMA,COD,total_area_px,forest_1985_px,forest_2023_px,human_1985_px,human_2023_px,regenerated_px,degenerated_px,regeneration_%,degeneration_%,net_forest_change,net_change_%,forest_cover_1985_%,forest_cover_2023_%
Campo arbustivo,8,99785713,37418541,27434584,2303911,12287872,635662,10619622,27.590562309047527,28.380641564832793,-9983957,-26.681844703672436,37.4988962598283,27.49349899418968
Campo com espinilho,11,62907990,10113041,6655995,8190196,11647143,1129806,4586858,13.79461492740833,45.355872679642054,-3457046,-34.18404019127382,16.07592453677188,10.58052403200293
Campo com barba-de-bode,3,109384443,23550494,14423933,23271492,32398053,1192165,10318726,5.122855895960603,43.81532718591805,-9126561,-38.75316161096238,21.530021412642746,13.186457419726496
Campo misto do Cristalino Oriental,7,3810196,1320200,661006,217082,876278,39903,699100,18.3815332455017,52.95409786396,-659194,-49.93137403423724,34.64913615992458,17.348346384280493
Campo graminoso,4,43918774,11133216,6076821,4039957,9096350,655698,5712116,16.230321263320377,51.306971857907,-5056395,-45.417200205223715,25.34956007651762,13.83649962542215
Campo de solos rasos,13,38698132,15867331,14930666,2191810,3128359,673275,1609964,30.717762944780798,10.14640710526553,-936665,-5.903103678873277,41.00283445206089,38.58239462307896
Campo misto de andropogoneas e compostas,2,154241270,30653992,21371073,11354874,20637680,2195067,11477873,19.331495884498587,37.44332222700391,-9282919,-30.282904099407347,19.87405316359234,13.855612703396439
Campo com areais,10,11388623,4660797,2831069,1472009,3301737,294209,2123937,19.98690225399437,45.570253327917946,-1829728,-39.257835087003365,40.925026669159216,24.858747190068545
Floresta Estacional,1,33614712,9063540,6620465,2494822,4937897,712595,3155670,28.562959601927513,34.817190634123094,-2443075,-26.954975649690958,26.9630154796507,19.69514122268845
Campo litoraneo,9,189687876,10818252,9462632,35641750,36997374,2338689,3694336,6.561655923179978,34.149102831030376,-1355620,-12.53085988383336,5.70318579559613,4.988527574635292
