Componente,Indicador,Peso
EX,Silvicultura,"0,15"
ex_score,Soja,"0,13"
ex_score,Área urbana,"0,15"
ex_score,Degeneração,"0,16"
ex_score,Agropecuária,"0,12"
ex_score,Mineração,"0,14"
ex_score,Incêndios,"0,14"
SE,Silvicultura,"0,14"
se_score,Soja,"0,14"
se_score,Área urbana,"0,14"
se_score,Degeneração,"0,14"
se_score,Agropecuária,"0,15"
se_score,Mineração,"0,14"
se_score,Incêndios,"0,15"
CA,Formação floresta,"0,15"
ca_score,Vegetação campestre,"0,16"
ca_score,Regeneração,"0,18"
ca_score,Taxa de alfabetismo,"0,16"
ca_score,Proximidade da FUNAI,"0,19"
ca_score,Status fundiário,"0,17"
